来源：hk.jobsdb.com,生成时间：2026-06-13 21:22:47,申请总数：43,记录总数：2171
序号,公司,职位,状态,来源,薪资,记录时间
574,ESD Services Limited (ESDlife),AI Engineer,skipped_reject,Recommended,,2026-06-13 15:35:45
575,NextGen Solutions Limited,Full Stack Tech Lead,skipped_reject,Recommended,,2026-06-13 15:36:02
576,Armitage Technologies Ltd,Systems Analyst,skipped_reject,Recommended,,2026-06-13 15:36:15
577,EYuan Technology Limited,Junior Quantitative Analyst (AI-Driven),skipped_region,Recommended,,2026-06-13 15:36:18
578,ESD Services Limited (ESDlife),AI Lead,applied,Recommended,,2026-06-13 15:36:54
579,Shepherd CMMS Limited,Senior Backend TypeScript Engineer,skipped_region,Recommended,,2026-06-13 15:36:57
580,Expert Systems Limited,Systems Analyst,skipped_reject,Recommended,,2026-06-13 15:37:10
581,Hong Kong Productivity Council,"Consultant (LLM & AI for Science), Governance Efficacy & AI Solutions",skipped_external,Recommended,,2026-06-13 15:37:27
582,CITIC Telecom International Holdings Limited,Application Developer / Senior Application Developer (AI Agent Development),applied,Recommended,,2026-06-13 15:38:03
583,Armitage Technologies Ltd,Analyst Programmer/ Systems Analyst,skipped_reject,Recommended,,2026-06-13 15:38:16
584,Osmium Consulting Group Limited,CTO / Tech Lead / System Analyst ( New Headcount ),skipped_reject,Recommended,,2026-06-13 15:38:28
585,PERSOL Hong Kong Limited,AI Project Manager,skipped_region,Recommended,,2026-06-13 15:38:31
586,Deloitte Touche Tohmatsu,Manager (Team Lead) - Deloitte AI Institute - Hong Kong,skipped_external,Recommended,,2026-06-13 15:38:50
587,CL Technical Services Ltd.,"Training Officer / AI Specialist (Shatin, 2 vacancies)",skipped_reject,Recommended,,2026-06-13 15:39:12
588,Logistics and Supply Chain MultiTech R&D Centre Limited,AI Researcher,skipped_region,Recommended,,2026-06-13 15:39:16
589,WallStone Partners & Company Limited,"Specialist, Digital Delivery & Transformation",skipped_reject,Recommended,,2026-06-13 15:39:26
590,Logistics and Supply Chain MultiTech R&D Centre Limited,Senior System Analyst / System Analyst (Systems),skipped_region,Recommended,,2026-06-13 15:39:29
591,Captar Partners Limited,AI Business Analyst - Insurance( 1-Year Contract),skipped_region,Recommended,,2026-06-13 15:39:33
592,Octopus Holdings Limited,Architect - Software Development,skipped_reject,Recommended,,2026-06-13 15:39:47
593,EY,Technology Consulting - AI & Data - Master Data Management Lead - Hong Kong,skipped_region,Recommended,,2026-06-13 15:39:50
594,I-Medi Asia Limited,System Analyst (AI Team),applied,Recommended,,2026-06-13 15:40:26
595,CL Technical Services Ltd.,"System Analyst (Kowloon Bay, over $60K)",skipped_reject,Recommended,,2026-06-13 15:40:37
596,Luen Thai International Group Ltd,AI & IT Support Analyst,skipped_reject,Recommended,,2026-06-13 15:40:50
597,Capgemini Hong Kong Limited,"Fullstack Developer (React, Java, BigQuery)",skipped_region,Recommended,,2026-06-13 15:40:53
598,Tradelink Electronic Commerce Ltd,System Analyst (IT-Identity Management Solutions & Services Development),skipped_reject,Recommended,,2026-06-13 15:41:08
599,"Centre for Artificial Intelligence and Robotics, HKISI, CAS",AI Agent Development Engineer,applied,Recommended,,2026-06-13 15:41:46
600,WallStone Partners & Company Limited,Senior System Analyst / System Analyst (Insurance),skipped_reject,Recommended,,2026-06-13 15:42:00
601,Modern Dental Group Limited,Solution Architect (AI & Web),skipped_reject,Recommended,,2026-06-13 15:42:16
602,FreightAmigo Services Limited,Senior Analyst Programmer/ System Analyst (5-day work),skipped_reject,Recommended,,2026-06-13 15:42:27
603,The Hong Kong Polytechnic University,Engineer,skipped_external,Recommended,,2026-06-13 15:42:41
604,EAB Systems (Hong Kong) Ltd,Fullstack Senior System Analyst (NodeJS),skipped_reject,Recommended,,2026-06-13 15:42:56
605,EDPS Systems Limited,System Analyst,skipped_reject,Recommended,,2026-06-13 15:43:10
606,Vitasoy International Holdings Ltd,AI & Data Analytics Intern,skipped_reject,Recommended,,2026-06-13 15:43:26
607,New Media Group Publishing Limited,Business Development Manager (AI/ Tech Solutions),skipped_reject,Recommended,,2026-06-13 15:43:37
608,Vita Green Health Products Company Limited,[ To Be Defined By You - IT Talents ],skipped_reject,Recommended,,2026-06-13 15:43:48
609,HKBN JOS Limited (HKBNJOS),System Analyst (Web Development),skipped_reject,Recommended,,2026-06-13 15:44:00
610,The Trader Funds Limited,AI Builder/ AI Agent Associate (5-Days Work & Bonus),skipped_reject,Recommended,,2026-06-13 15:44:14
611,Randstad Hong Kong Limited,Web Developer - AI & Innovation | up to 60K,skipped_reject,Recommended,,2026-06-13 15:44:30
612,United Asia Finance Limited,System Analyst [Backend],skipped_reject,Recommended,,2026-06-13 15:44:42
613,TEKsystems,Data Engineer - Large Enterprise,skipped_region,Recommended,,2026-06-13 15:44:45
614,Smoooth Biz Limited,Senior Software Analyst,skipped_reject,Recommended,,2026-06-13 15:44:58
615,Morgan Mckinley Limited,"AI Agent Engineer (Perm, up to 60k)",skipped_region,Recommended,,2026-06-13 15:45:03
616,NEC Hong Kong Limited,System Analyst - JAVA,skipped_reject,Recommended,,2026-06-13 15:45:14
617,"Hong Kong Institute of Science & Innovation, Chinese Academy of Sciences Limited",Research Assistant - Simulation and Synthetic Data Generation,skipped_reject,Recommended,,2026-06-13 15:45:28
618,Swing Consulting Limited,"System Analyst (Cloud, Government, 50-70k)",skipped_reject,Recommended,,2026-06-13 15:45:41
619,TEKsystems,"Java Developer (3–10 Years Experience | Multiple Headcounts, Different Levels)",skipped_reject,Recommended,,2026-06-13 15:45:53
620,Defond Electrical Industries Limited,Senior Embedded Software Engineer,skipped_region,Recommended,,2026-06-13 15:45:56
621,Quam Plus International Financial Limited,AI Technical Leads / AI Officers,skipped_region,Recommended,,2026-06-13 15:45:59
622,AIA Hong Kong,Transformation Partner Lead – AI Growth Initiatives,skipped_reject,Recommended,,2026-06-13 15:46:13
623,K11 by AC Limited,AI Technical Lead,applied,Recommended,,2026-06-13 15:46:47
624,CL Technical Services Ltd.,"System Analyst (Application development, over $60K)",skipped_reject,Recommended,,2026-06-13 15:47:02
625,EDPS Systems Limited,Data Engineer,skipped_region,Recommended,,2026-06-13 15:47:07
626,Modern Dental Group Limited,Senior Analyst Programmer/ System Analyst,skipped_reject,Recommended,,2026-06-13 15:47:20
627,Morgan Half International (Hong Kong) Limited,Java Analyst Programmer / System Analyst | Multiple headcounts,skipped_reject,Recommended,,2026-06-13 15:47:33
628,Hong Kong RFID Limited,Programmer / Junior Software Engineer,skipped_reject,Recommended,,2026-06-13 15:47:43
629,QUANTUM BAY INNOVATIONS LIMITED,Web3.0 Back-end development engineer/Web3后端开发工程师,skipped_reject,Recommended,,2026-06-13 15:47:54
630,Master Communications Limited,Senior System Analyst,skipped_reject,Recommended,,2026-06-13 15:48:07
631,Oxford University Press (China) Ltd,Senior Digital Product Specialist,skipped_reject,Recommended,,2026-06-13 15:48:26
632,Hong Kong Quantum AI Lab Limited,Software Development Engineer,skipped_reject,Recommended,,2026-06-13 15:48:39
633,New World Development Co Ltd,Senior System Analyst,skipped_reject,Recommended,,2026-06-13 15:48:54
634,Recruit Logic Limited,"Java Developer, Calypso (Investment bank, Up to $80k)",skipped_region,Recommended,,2026-06-13 15:48:57
635,Lively Impact Technology Limited,Software Developer / Senior Software Developer,skipped_reject,Recommended,,2026-06-13 15:49:09
636,Hong Kong Air Cargo Terminals Ltd,Team Lead (Application Development),skipped_reject,Recommended,,2026-06-13 15:49:24
637,Innovation Technology Co Ltd,Software Engineer,skipped_reject,Recommended,,2026-06-13 15:49:35
638,HKMC Annuity Limited,System Analyst,skipped_reject,Recommended,,2026-06-13 15:49:50
639,PeopleSearch Limited,Head of Architect_Java_Docker_Application,skipped_reject,Recommended,,2026-06-13 15:50:00
640,Hong Kong Green Building Council Limited,Senior Executive – IT (Junior to Middle Level),skipped_reject,Recommended,,2026-06-13 15:50:12
641,ServiceOne Limited,IT Technical Service Project Lead,skipped_reject,Recommended,,2026-06-13 15:50:25
642,思諾維特(香港)科技有限公司,System Analyst / Analyst Programmer,skipped_reject,Recommended,,2026-06-13 15:50:38
643,Automated Systems (HK) Ltd,Data Architect and Team Lead,skipped_region,Recommended,,2026-06-13 15:50:41
644,Delta Asia Financial Group,Senior Analyst Programmer,skipped_region,Recommended,,2026-06-13 15:50:44
645,China Merchants Securities International Company Limited,"Product Manager , IT Department 產品經理崗 (跨境交易)",skipped_reject,Recommended,,2026-06-13 15:50:55
646,Hong Kong Examinations and Assessment Authority,Officer – Information Technology (IT Application),skipped_reject,Recommended,,2026-06-13 15:51:08
647,Virtual Gaming Technology Limited,Senior Software Engineer - AI,applied,Recommended,,2026-06-13 15:51:46
648,Techforce Group Limited,Lead Data Engineer | Data Platform Transformation | Financial Services Industry,skipped_region,Recommended,,2026-06-13 15:51:50
649,Asia Allied Infrastructure Holdings Limited,System Analyst/ Senior Developer,skipped_reject,Recommended,,2026-06-13 15:52:06
650,KPMG,"Senior Consultant / Manager, Data Engineer, Transformation (MJ005881)",skipped_region,Recommended,,2026-06-13 15:52:10
651,Morgan Half International (Hong Kong) Limited,Java Analyst Programmer / System Analyst | Multiple headcounts,skipped_reject,Recommended,,2026-06-13 15:52:17
652,Hong Kong University of Science and Technology R and D Corporation Limited,Assistant Officer (RAISe+ Project Management) Jobsdb 20260612,skipped_reject,Recommended,,2026-06-13 15:52:27
653,Yunfeng Financial Group Limited,IT Manager,skipped_region,Recommended,,2026-06-13 15:52:31
654,Cartrack Asia,"Technical and Operation Team  Leader (IT. IoT, Telemetic)",skipped_reject,Recommended,,2026-06-13 15:52:42
655,Techforce Group Limited,"Solution Architect - Financial Services Platform - AI - HKD 80,000/ month",skipped_region,Recommended,,2026-06-13 15:52:45
656,"CLPS Technology (Hong Kong) Co., Limited",Microservices Developer (ATM banking project),skipped_region,Recommended,,2026-06-13 15:52:49
657,Ping An Securities (Hong Kong) Holdings Company Limited,Senior IT Officer/Assistant Manager (Application),skipped_region,Recommended,,2026-06-13 15:52:52
658,CL Technical Services Ltd.,"AI Engineer / AI Specialist (Web programming, $45K - $65K)",applied,Recommended,,2026-06-13 15:53:25
659,Ringus Solution Enterprise Limited,Security Engineer - Cyber Security,skipped_reject,Recommended,,2026-06-13 15:53:40
660,Buyandship Limited,Senior Backend Engineer – Golang Required,skipped_reject,Recommended,,2026-06-13 15:53:52
661,Kenfil Hong Kong Ltd,Cloud & AI Solutions Sales Representative,skipped_region,Recommended,,2026-06-13 15:53:55
662,LifeMap Sciences Limited,Senior DotNet Developer — GeneCards Suite (Hong Kong),skipped_reject,Recommended,,2026-06-13 15:54:07
663,Chow Sang Sang Holdings International Limited,Senior Business Analyst,skipped_reject,Recommended,,2026-06-13 15:54:18
664,LW Consulting Limited,Systems Analyst - NGO,skipped_region,Recommended,,2026-06-13 15:54:21
665,Beehire Personnel Limited,"FSI, QA Engineer (Automation), up to 45k",skipped_reject,Recommended,,2026-06-13 15:54:37
666,APJ Software (Hong Kong) Company Limited,Senior Manager/ Service Delivery Manager (Software Development & Maintenance),skipped_reject,Recommended,,2026-06-13 15:54:47
667,PCCW Services Limited,"Software Architect/ Technical Head, Digital Platforms",skipped_reject,Recommended,,2026-06-13 15:54:59
668,Hong Kong Sheng Kung Hui Welfare Council Limited,System Analyst (Ref: CA/IT/SA/20250425-44),skipped_region,Recommended,,2026-06-13 15:55:03
669,Pacific Prime Insurance Brokers Ltd,Programmer (Java),skipped_reject,Recommended,,2026-06-13 15:55:16
670,Hong Kong Interbank Clearing Ltd,Analyst (Cyber Resilience) (Two-Year Programme),skipped_reject,Recommended,,2026-06-13 15:55:28
671,Varmeego Limited,System Analyst (Java),skipped_reject,Recommended,,2026-06-13 15:55:41
672,ACW Distribution (HK) Ltd,Product Manager (IT),skipped_region,Recommended,,2026-06-13 15:55:45
673,ANKH 機能再生 痛症健康集團,Analyst Programmer / (Senior) Analyst Programmer,skipped_reject,Recommended,,2026-06-13 15:56:00
674,Pacific Prime Insurance Brokers Ltd,AI Engineer,applied,SavedSearch:ai,,2026-06-13 16:01:03
675,EY,Technology Consulting - AI & Data - Master Data Management Lead - Hong Kong,skipped_region,SavedSearch:ai,,2026-06-13 16:01:07
676,CL Technical Services Ltd.,"Data Architect / Application Developer (AI/Python, over $60K)",skipped_reject,SavedSearch:ai,,2026-06-13 16:01:20
677,CITIC Telecom International Holdings Limited,Senior AI Engineer (Mobile Service Development),skipped_reject,SavedSearch:ai,,2026-06-13 16:01:35
678,"TCL Corporate Research (Hong Kong) Co., Limited",LLM Engineer (Data and Optimization),applied,SavedSearch:ai,,2026-06-13 16:02:11
679,Robert Walters (HK) Ltd,"AI Engineer (POC Development, Insurance) - 75k",skipped_region,SavedSearch:ai,,2026-06-13 16:02:15
680,Quam Plus International Financial Limited,AI Technical Leads / AI Officers,skipped_region,SavedSearch:ai,,2026-06-13 16:02:19
681,Macleans Consulting International Limited,Senior Manager - Information Technology (AI solutions),skipped_reject,SavedSearch:ai,,2026-06-13 16:02:34
682,Automated Systems (HK) Ltd,AI Engineer Lead / AI Engineer,applied,SavedSearch:ai,,2026-06-13 16:03:15
683,EPC Solutions (Hong Kong) Limited,AI Engineer / AI Architect (AI 工程師／AI 架構師),skipped_reject,SavedSearch:ai,,2026-06-13 16:03:31
684,"CLPS Technology (Hong Kong) Co., Limited",AI Engineer(banking projects),skipped_reject,SavedSearch:ai,,2026-06-13 16:03:45
685,EY,CBS – Risk Management - Project Manager (AI and Technology) - Manager,skipped_region,SavedSearch:ai,,2026-06-13 16:03:49
686,Bank of China (Hong Kong) Limited,Senior / Data Analyst (Data Scientist),skipped_region,SavedSearch:ai,,2026-06-13 16:03:52
687,ESD Services Limited (ESDlife),Senior AI Solution Engineer,skipped_applied,SavedSearch:ai,,2026-06-13 16:03:52
688,Vita Green Health Products Company Limited,[ To Be Defined By You - IT Talents ],skipped_reject,SavedSearch:ai,,2026-06-13 16:04:05
689,CL Technical Services Ltd.,"Senior Application Developer (AI / Data Platform, Over $60K)",skipped_reject,SavedSearch:ai,,2026-06-13 16:04:19
690,Robert Walters (HK) Ltd,Agentic AI Application Developer,skipped_region,SavedSearch:ai,,2026-06-13 16:04:23
691,Bank of China (Hong Kong) Limited,(Senior) Application Development Manager (Data Platform Management),skipped_reject,SavedSearch:ai,,2026-06-13 16:04:49
692,Bank of China (Hong Kong) Limited,"(Senior) AML Manager, AI development",skipped_region,SavedSearch:ai,,2026-06-13 16:04:53
693,Recruit Logic Limited,"AI Solution Architect (Leading Technology Company, up to 60K)",skipped_region,SavedSearch:ai,,2026-06-13 16:04:56
694,Asia Allied Infrastructure Holdings Limited,Senior AI Engineer,applied,SavedSearch:ai,,2026-06-13 16:05:32
695,EYuan Technology Limited,Junior Quantitative Analyst (AI-Driven),skipped_region,SavedSearch:ai,,2026-06-13 16:05:36
696,Modern Dental Group Limited,Solution Architect (AI & Web),skipped_reject,SavedSearch:ai,,2026-06-13 16:05:50
697,Senior Citizen Home Safety Association,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:06:02
698,Sun Life Hong Kong Ltd,AI - Technical Lead,skipped_external,SavedSearch:ai,,2026-06-13 16:06:30
699,China Mobile International Limited,AI Application Architect,applied,SavedSearch:ai,,2026-06-13 16:07:03
700,JustOneGalaxy Recruitment Limited,GenAI Specialist/ AI Developer/ AI Engineer/ AI Data Scientist (Bank),skipped_region,SavedSearch:ai,,2026-06-13 16:07:07
701,PINSEN TECHNOLOGY LIMITED,AI Quantitative Trading Researcher （人工智能量化交易研究员）,skipped_reject,SavedSearch:ai,,2026-06-13 16:07:19
702,Golden Well Property Investment Limited,AI架构师,skipped_region,SavedSearch:ai,,2026-06-13 16:07:23
703,CMB Wing Lung Bank Limited,AI Agent高级研发工程师 / 落地实施专家,applied,SavedSearch:ai,,2026-06-13 16:07:57
704,Captar Partners Limited,AI Business Analyst - Insurance( 1-Year Contract),skipped_region,SavedSearch:ai,,2026-06-13 16:08:01
705,KPMG,"Data Architect (Manager/Associate Director level), Finance Consulting (MJ001620)",skipped_region,SavedSearch:ai,,2026-06-13 16:08:04
706,KOS International Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:08:17
707,Techforce Group Limited,Lead Data Engineer | Data Platform Transformation | Financial Services Industry,skipped_reject,SavedSearch:ai,,2026-06-13 16:08:28
708,EDPS Systems Limited,Data Engineer,skipped_region,SavedSearch:ai,,2026-06-13 16:08:32
709,APJ Software (Hong Kong) Company Limited,AI Lead (Banking Technology),applied,SavedSearch:ai,,2026-06-13 16:09:12
710,TEKsystems,AI Platform Lead & AI Engineer – Financial Services,skipped_region,SavedSearch:ai,,2026-06-13 16:09:16
711,APJ Software (Hong Kong) Company Limited,AI Engineer,applied,SavedSearch:ai,,2026-06-13 16:09:54
712,Beijing Normal-Hong Kong Baptist University (BNBU),Professor/Associate Professor in Computer Science and Technology,skipped_reject,SavedSearch:ai,,2026-06-13 16:10:06
713,Morgan Mckinley Limited,"AI Solution Lead (Group Level, APAC)",skipped_reject,SavedSearch:ai,,2026-06-13 16:10:21
714,Robert Walters (HK) Ltd,Systems Development Manager (GenAI),skipped_region,SavedSearch:ai,,2026-06-13 16:10:25
715,CISC Limited,AI Solution Architect (Ref: JDB/CISC/AI),skipped_region,SavedSearch:ai,,2026-06-13 16:10:29
716,Morgan Mckinley Limited,"AI Agent Engineer (Perm, up to 60k)",skipped_region,SavedSearch:ai,,2026-06-13 16:10:32
717,KPMG,"Data Engineer, Senior Consultant/Manager, Finance Consulting (MJ001226)",skipped_reject,SavedSearch:ai,,2026-06-13 16:10:45
718,Set Sail Venture Limited,Project Manager (Agentic AI),skipped_reject,SavedSearch:ai,,2026-06-13 16:10:59
719,Optimum Solutions (Hong Kong) Limited,AI Infrastructure Analyst,skipped_region,SavedSearch:ai,,2026-06-13 16:11:02
720,KPMG,"Senior Consultant / Manager, Data Engineer, Transformation (MJ005881)",skipped_region,SavedSearch:ai,,2026-06-13 16:11:06
721,InfoTech Services ( HK ) Ltd. 資訊科技服務(香港)有限公司,"Contract Analyst Programmer (C39572) - BI, OCR, LLM, RAG, AI agent tools",skipped_region,SavedSearch:ai,,2026-06-13 16:11:09
722,Pinpoint Asia,Data Scientist – Leading Technology Consultancy - J12851,skipped_region,SavedSearch:ai,,2026-06-13 16:11:13
723,Forida Limited,AI Agentic Consultant,applied,SavedSearch:ai,,2026-06-13 16:11:54
724,Vita Green Health Products Company Limited,[ To Be Defined By You - AI-Powered Marketing Talents ],skipped_reject,SavedSearch:ai,,2026-06-13 16:12:07
725,HKBN JOS Limited (HKBNJOS),AI Consultant,skipped_reject,SavedSearch:ai,,2026-06-13 16:12:19
726,Techforce Group Limited,"Solution Architect - Financial Services Platform - AI - HKD 80,000/ month",skipped_region,SavedSearch:ai,,2026-06-13 16:12:23
727,Ikas International (Asia) Limited,AI Platform Lead - Financial Institutions,skipped_region,SavedSearch:ai,,2026-06-13 16:12:25
728,Pinpoint Asia,AI Platform Lead | GenAI & MLOps | Top Financial Firm - J12838,skipped_region,SavedSearch:ai,,2026-06-13 16:12:30
729,AIA Hong Kong,Transformation Partner Lead – AI Growth Initiatives,skipped_region,SavedSearch:ai,,2026-06-13 16:12:33
730,KPMG,"Associate Director, AI Lead, Technology Consulting (MJ007086)",skipped_reject,SavedSearch:ai,,2026-06-13 16:12:48
731,Geek Plus International Company Limited,AI Project Solutions Consultant,applied,SavedSearch:ai,,2026-06-13 16:13:30
732,The Hong Kong Mortgage Corporation Limited,Senior Solutions Architect (GenAI - Digitalisation Office),applied,SavedSearch:ai,,2026-06-13 16:14:08
733,FDM Group HK Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:14:19
734,SmarTone Telecommunications Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:14:30
735,Robert Walters (HK) Ltd,Senior Data Architect (GenAI),skipped_region,SavedSearch:ai,,2026-06-13 16:14:33
736,Recruit Squad Limited,AI/ML Machine Learning Manager,skipped_region,SavedSearch:ai,,2026-06-13 16:14:37
737,Robert Walters (HK) Ltd,System Development Manager (GenAI),skipped_region,SavedSearch:ai,,2026-06-13 16:14:40
738,Dah Chong Hong Holdings Limited,AI Platform Architect,skipped_reject,SavedSearch:ai,,2026-06-13 16:15:02
739,CIAO International Limited,Senior AI Solution Engineer (Ref: 26052802),applied,SavedSearch:ai,,2026-06-13 16:15:40
740,EDPS Systems Limited,Data Architect,skipped_reject,SavedSearch:ai,,2026-06-13 16:15:53
741,"Facishare Co., Limited",AI Agent Algorithm Researcher,applied,SavedSearch:ai,,2026-06-13 16:16:28
742,"TCL Corporate Research (Hong Kong) Co., Limited",AI Multi-modal & World Model Scientist,applied,SavedSearch:ai,,2026-06-13 16:17:04
743,Automated Systems (HK) Ltd,Data Architect and Team Lead,skipped_reject,SavedSearch:ai,,2026-06-13 16:17:17
744,HKT,Senior Analyst Programmer (AI),skipped_region,SavedSearch:ai,,2026-06-13 16:17:20
745,Taylor Coulter,"System Analyst (API design, Docker, Kubernetes)",applied,SavedSearch:ai,,2026-06-13 16:18:03
746,KPMG,"Manager / Associate Director, Data Architect, Transformation (MJ005882)",skipped_region,SavedSearch:ai,,2026-06-13 16:18:07
747,ESD Services Limited (ESDlife),AI Engineer,applied,SavedSearch:ai,,2026-06-13 16:18:46
748,The Hong Kong Polytechnic University,Engineer,skipped_external,SavedSearch:ai,,2026-06-13 16:19:06
749,SaneChoice HK Limited,AI and Data Systems Architecture Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:19:19
750,Manpower Services (Hong Kong) Limited,(Vancouver) Senior Developer (AI/ML Software Development),skipped_region,SavedSearch:ai,,2026-06-13 16:19:23
751,Acton Consulting Limited,Artificial Intelligence ( AI ) Development Team - Newly Formed,skipped_reject,SavedSearch:ai,,2026-06-13 16:19:38
752,"Banclogix System Co., Limited",Senior AI Developer,skipped_region,SavedSearch:ai,,2026-06-13 16:19:42
753,Global Headwear Limited,AI Engineer  (Garment/ MFG),skipped_reject,SavedSearch:ai,,2026-06-13 16:20:01
754,Hays Hong Kong Limited,Head of AI,skipped_region,SavedSearch:ai,,2026-06-13 16:20:05
755,PERSOL Hong Kong Limited,AI Project Manager,skipped_region,SavedSearch:ai,,2026-06-13 16:20:09
756,Google (Hong Kong) Limited,"Customer Engineer, Practice AI, Google Cloud",skipped_external,SavedSearch:ai,,2026-06-13 16:20:25
757,Industrial and Commercial Bank of China (Asia) Limited,"AI System Architect / System Analyst, Financial Technonlogy",skipped_reject,SavedSearch:ai,,2026-06-13 16:20:38
758,Hong Kong Exchanges & Clearing Ltd,Systems Development Manager (Generative AI) - AVP - AI Systems - IT,skipped_external,SavedSearch:ai,,2026-06-13 16:20:53
759,Hong Kong Quantum AI Lab Limited,Senior Product Manager (AI for Science / Battery R&D Platform),skipped_reject,SavedSearch:ai,,2026-06-13 16:21:10
760,Recruit Squad Limited,AI Platform Lead,skipped_reject,SavedSearch:ai,,2026-06-13 16:21:23
761,SaneChoice HK Limited,AI Algorithm Engineer,applied,SavedSearch:ai,,2026-06-13 16:21:58
762,HKBN JOS Limited (HKBNJOS),AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:22:11
763,KOS International Limited,AI Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:22:23
764,Crossings Executive Search,AI Platform Development Lead,applied,SavedSearch:ai,,2026-06-13 16:23:00
765,Spark Education (Hong Kong) Limited,AI Solutions Architect,skipped_reject,SavedSearch:ai,,2026-06-13 16:23:12
766,PwC,AI Engineer - Technology Risk - Consulting - Hong Kong,skipped_region,SavedSearch:ai,,2026-06-13 16:23:16
767,New Media Group Publishing Limited,Business Development Manager (AI/ Tech Solutions),skipped_reject,SavedSearch:ai,,2026-06-13 16:23:31
768,CL Technical Services Ltd.,"Training Officer / AI Specialist (Shatin, 2 vacancies)",skipped_reject,SavedSearch:ai,,2026-06-13 16:23:47
769,Beijing Normal-Hong Kong Baptist University (BNBU),Professor / Associate Professor / Assistant Professor in Data Science,skipped_reject,SavedSearch:ai,,2026-06-13 16:24:00
770,Cayuga Limited,Quantitative Developer,skipped_region,SavedSearch:ai,,2026-06-13 16:24:04
771,NTT Com Asia Limited,"Senior / Director, System Integration (Ref: JDB-SI)",skipped_reject,SavedSearch:ai,,2026-06-13 16:24:16
772,The Trader Funds Limited,AI Builder/ AI Agent Associate (5-Days Work & Bonus),skipped_region,SavedSearch:ai,,2026-06-13 16:24:20
773,愛佩儀傳感信息科技有限公司,Optics & Analog Hardware Engineer,skipped_reject,SavedSearch:ai,,2026-06-13 16:24:39
774,LifeMap Sciences Limited,Senior DotNet Developer — GeneCards Suite (Hong Kong),skipped_reject,SavedSearch:ai,,2026-06-13 16:24:58
775,PressLogic Limited,Operations Manager (Internal AI Process & Business Operations),skipped_region,SavedSearch:ai,,2026-06-13 16:25:03
776,SmartHire by SEEK,3D Designer / Visualiser wanted (CG rendering + AI generation),skipped_reject,SavedSearch:ai,,2026-06-13 16:25:23
777,JD.COM.INC,经营分析,skipped_reject,SavedSearch:ai,,2026-06-13 16:25:36
778,Haifu Global (Hong Kong) Limited,Business Development and Operations Manager (Welcome fresh grad),skipped_reject,SavedSearch:ai,,2026-06-13 16:25:49
779,Nan Fung Development Limited,Senior Manager - Information Technology,skipped_reject,SavedSearch:ai,,2026-06-13 16:26:01
780,DigiSalad Solutions Limited,Digital Solutions Specialist / Business Development Executive,skipped_reject,SavedSearch:ai,,2026-06-13 16:26:14
781,"ChineseRoad(HongKong)Co.,Limited",學校銷售總監,skipped_region,SavedSearch:ai,,2026-06-13 16:26:17
782,TEKsystems,Senior Application Support Manager (Trading Systems),skipped_region,SavedSearch:ai,,2026-06-13 16:26:21
783,Industrial and Commercial Bank of China (Asia) Limited,"Manager to Senior Manager, Audit System and Data Analytics, IAD",skipped_reject,SavedSearch:ai,,2026-06-13 16:26:34
784,Long Bridge Technology HK Limited,Business Development Manager (Trading System),skipped_region,SavedSearch:ai,,2026-06-13 16:26:38
785,AIA Hong Kong,"Partner Service Management - Digital, Principal (Senior Manager)",skipped_reject,SavedSearch:ai,,2026-06-13 16:26:50
786,Vita Green Health Products Company Limited,[ To Be Defined By You - E-commerce Experts ],skipped_reject,SavedSearch:ai,,2026-06-13 16:27:03
787,Vita Green Health Products Company Limited,[ To Be Defined By You - Finance Talents ],skipped_reject,SavedSearch:ai,,2026-06-13 16:27:15
788,Technological and Higher Education Institute of Hong Kong (THEi),Senior Lecturer (Master of Science in Digital Tourism and Hospitality Mgmt.),skipped_reject,SavedSearch:ai,,2026-06-13 16:27:30
789,Lalamove,Senior Data Analyst,skipped_reject,SavedSearch:ai,,2026-06-13 16:27:43
790,APJ Software (Hong Kong) Company Limited,Banking Systems Architect,skipped_reject,SavedSearch:ai,,2026-06-13 16:27:56
791,Continuous Technologies International Ltd,Project Manager - Contact Center Solutions,skipped_region,SavedSearch:ai,,2026-06-13 16:27:59
792,Beehire Personnel Limited,"FSI, DevOps Engineer, in house, At least 2 Months Bonus",skipped_region,SavedSearch:ai,,2026-06-13 16:28:03
793,Beijing Normal-Hong Kong Baptist University (BNBU),Professor/Associate Professor/Assistant Professor in Statistics,skipped_reject,SavedSearch:ai,,2026-06-13 16:28:16
794,Long Bridge Technology HK Limited,Solutions Specialist - Brokerage system,skipped_region,SavedSearch:ai,,2026-06-13 16:28:20
795,Technological and Higher Education Institute of Hong Kong (THEi),Professor / Associate Professor / Assistant Professor,skipped_region,SavedSearch:ai,,2026-06-13 16:28:23
796,Career International AP (Hong Kong) Limited,Senior Quality Assurance Officer (AI medical company),skipped_reject,SavedSearch:ai,,2026-06-13 16:28:35
